label,precision,recall,f1-score
LOC,0.6932952924393724,0.5771971496437055,0.6299416720674013
ORG,0.5505882352941176,0.41637010676156583,0.4741641337386018
PER,0.6948818897637795,0.4331288343558282,0.5336356764928193
TMP,0.7813504823151125,0.6923076923076923,0.7341389728096677
VAL,0.6054421768707483,0.5460122699386503,0.5741935483870968
micro avg,0.6672621706118803,0.5158839779005525,0.5818889970788705
macro avg,0.6651116153366261,0.5330032106014884,0.5892148006991174
weighted avg,0.6668308472303847,0.5158839779005525,0.5789620454467821
